full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"3581 Dundas Street West, B, Toronto, ON, M6S 2S8",1,NA,NA,NA,1,NA,Owned by others
"146 Glendonwynne Road, Toronto, ON, M6P 3E3",1,NA,NA,NA,1,NA,Owned by others
"181 Glenlake Avenue, Toronto, ON, M6P 4B6",NA,NA,NA,NA,1,NA,City Owned
"288 Humberside Avenue, Toronto, ON, M6P 2V2",1,NA,NA,NA,1,NA,Owned by others
"238 Jane Street, Toronto, ON, M6S 3Z1",NA,1,NA,NA,NA,NA,Owned by others
"620 Jane Street, Toronto, ON, M6S 4A6",1,NA,NA,1,NA,NA,City Owned
"95 Lavinia Avenue, Toronto, ON, M6S 3H6",NA,1,NA,NA,1,NA,City Owned
"95 Lavinia Avenue, Toronto, ON, M6S 3H9",NA,NA,NA,1,NA,NA,City Owned
"4066 Old Dundas Street, Toronto, ON, M6S 2R7",NA,1,1,NA,1,1,City Owned
"396 Pacific Avenue, Suite 205, Toronto, ON, M6P 2R1",1,NA,NA,NA,NA,NA,Owned by others
"280 Quebec Avenue, Toronto, ON, M6P 2V2",1,1,1,NA,1,NA,Owned by others
"432 Runnymede Road, Toronto, ON, M6S 2Y8",1,NA,NA,1,NA,NA,Owned by others
"15 Waller Avenue, Toronto, ON, M6S 4Z9",1,NA,NA,NA,1,NA,City Owned
"207 Windermere Avenue, Toronto, ON, M6S 3J9",1,1,1,NA,1,NA,Owned by others
"3040 Dundas Street West, Toronto, ON, M6P 1Z3",NA,1,NA,NA,NA,NA,Owned by others
"356 Windermere Avenue, Toronto, ON, M6S 3L3",1,NA,NA,NA,1,NA,Owned by others
"4 Morningside Avenue, Toronto, ON, M6S 1C2",1,NA,NA,NA,1,NA,Owned by others
"404 Willard Avenue, Toronto, ON, M6S 3R5",1,NA,NA,NA,1,NA,Owned by others
"2256 Bloor Street West, Toronto, ON, M6S 1N6",NA,1,NA,NA,1,NA,Owned by others
"2412 Bloor Street West, Toronto, ON, M6S 1P9",NA,1,NA,NA,1,NA,Owned by others
"2232 Bloor Street West, Toronto, ON, M6S 1N6",NA,1,NA,NA,NA,NA,Owned by others
"2900 Dundas Street West, Toronto, ON, M6P 1Y8",NA,1,NA,NA,NA,NA,Owned by others
"365 Jane Street, Toronto, ON, M6S 2E2",NA,1,NA,NA,NA,NA,Owned by others
"151 Annette Street, Toronto, ON, M6P 2N7",NA,NA,NA,NA,1,NA,Owned by others
"2960 Dundas Street West, Toronto, ON, M6P 1Z2",NA,NA,NA,NA,1,NA,Owned by others
"72 Durie Street, Toronto, ON, M6S 3E8",NA,NA,NA,NA,1,NA,Owned by others
"14 Saint Marks Road, Toronto, ON, M6S 2H7",NA,NA,NA,NA,1,NA,Owned by others
"135 Varsity Road, Toronto, ON, M6S 4P4",NA,NA,NA,NA,1,NA,Owned by others
"71 Jane Street, Toronto, ON, M6S 3Y3",NA,NA,NA,NA,1,NA,Owned by others
"3049 Dundas Street West, Toronto, ON, M6P 1Z5",1,NA,NA,NA,1,NA,Owned by others
"293 South Kingsway, Toronto, ON, M6S 3V4",1,NA,NA,NA,1,NA,Owned by others
"606 Jane Street, Toronto, ON, M6S 4A6",1,NA,NA,NA,1,NA,Owned by others
"1515 Bloor Street West, Toronto, ON, M6P 1A3",1,NA,NA,NA,1,NA,Owned by others
"1558 Bloor Street West, Toronto, ON, M6P 1A4",NA,NA,NA,NA,1,NA,Owned by others
"1573 Bloor Street West, Toronto, ON, M6P 1A6",1,NA,NA,NA,1,NA,Owned by others
"1614 Bloor Street West, Toronto, ON, M6P 1A7",NA,1,NA,NA,NA,NA,Owned by others
"5 Brock Avenue, Toronto, ON, M6K 2K6",NA,1,NA,NA,NA,NA,Owned by others
"77 Brock Avenue, Toronto, ON, M6K 2L3",NA,1,NA,NA,NA,NA,Owned by others
"186 Cowan Avenue, Toronto, ON, M6K 2N6",NA,NA,NA,NA,1,NA,Owned by others
"220 Cowan Avenue, Toronto, ON, M6K 2N6",NA,NA,NA,NA,1,NA,City Owned
"219 Dufferin Street, Toronto, ON, M6K 1Y9",NA,1,1,NA,1,NA,Owned by others
"358 Dufferin Street, Suite 117, Toronto, ON, M6K 1Z8",NA,1,NA,NA,1,NA,Owned by others
"376 Dufferin Street, Toronto, ON, M6K 1E6",1,NA,NA,NA,NA,NA,Owned by others
"2035 Dundas Street West, Toronto, ON, M6R 1W8",NA,1,NA,NA,NA,NA,Owned by others
"2238 Dundas Street West, Suite B104, Toronto, ON, M6R 1X3",1,NA,NA,NA,NA,NA,Owned by others
"2261 Dundas Street West, Toronto, ON, M6R 1X6",1,NA,NA,NA,NA,NA,Owned by others
"2340 Dundas Street West, Toronto, ON, M6P 4A9",NA,NA,1,NA,NA,NA,Owned by others
"2717 Dundas Street West, Toronto, ON, M6P 1Y1",NA,NA,NA,NA,1,NA,Owned by others
"1155 King Street West, Toronto, ON, M6K 1E9",1,NA,NA,NA,1,NA,City owned
"1225 Lake Shore Boulevard West, Toronto, ON, M6K 3C1",1,NA,NA,NA,1,NA,Owned by others
"1601 Lake Shore Boulevard West, Toronto, ON, M6K 3C1",1,NA,NA,NA,1,NA,Owned by others
"58 Lansdowne Avenue, Toronto, ON, M6K 2V9",NA,1,NA,NA,NA,NA,Owned by others
"75 Lansdowne Avenue, Toronto, ON, M6K 2V7",NA,NA,NA,NA,1,NA,City operated
"17 Morrow Avenue, Toronto, ON, M6R 2H9",NA,1,NA,NA,NA,NA,Owned by others
"21 Morrow Avenue, Toronto, ON, M6R 2H9",NA,1,NA,NA,NA,NA,Owned by others
"6 Noble Street, Toronto, ON, M6K 2C6",1,NA,NA,NA,NA,NA,Owned by others
"1237 Queen Street West, Toronto, ON, M6K 1L4",NA,1,NA,NA,NA,NA,Owned by others
"1255 Queen Street West, Toronto, ON, M6K 1L5",1,NA,NA,NA,NA,NA,Owned by others
"1266 Queen Street West, Toronto, ON, M6K 1J4",NA,1,NA,NA,NA,NA,Owned by others
"1267 Queen Street West, Toronto, ON, M6K 1L6",NA,1,NA,NA,NA,NA,Owned by others
"1296 Queen Street West, Toronto, ON, M6K 1L4",1,NA,NA,NA,NA,NA,Owned by others
"1303 Queen Street West, Toronto, ON, M6K 1L4",1,NA,NA,1,NA,NA,City Owned
"1313 Queen Street West, Toronto, ON, M6K 1L8",NA,1,NA,NA,1,NA,City Owned
"1340 Queen Street West, Toronto, ON, M6K 1L4",NA,1,NA,NA,NA,NA,Owned by others
"1338 Queen Street West, Toronto, ON, M6K 1L6",NA,1,NA,NA,NA,NA,Owned by others
"1510 Queen Street West, Toronto, ON, M6R1A4 
",1,1,NA,NA,NA,NA,Owned by others
"1550 Queen Street West, Toronto, ON, M5R 1A6",1,NA,NA,NA,1,NA,Owned by others
"228 Roncesvalles Avenue, Toronto, ON, M6R 2L3",1,NA,NA,1,NA,NA,City Owned
"315 Roncesvalles Avenue, Toronto, ON, M6R 2M6",NA,1,NA,NA,NA,NA,Owned by others
"333 Roncesvalles Avenue, Toronto, ON, M6R 2M8",NA,1,NA,NA,NA,NA,Owned by others
"396 Roncesvalles Avenue, Toronto, ON, M6R 2M9",1,1,NA,NA,NA,NA,Owned by others
"400 Roncesvalles Avenue, Toronto, ON, M6R 2M9",NA,NA,1,NA,NA,NA,Owned by others
"403 Roncesvalles Avenue, Toronto, ON, M6R 2N1",1,NA,NA,NA,NA,NA,Owned by others
"345 Sorauren Avenue, Toronto, ON, M6R  2G5",1,1,NA,NA,1,NA,Owned by others
"11 Strickland Avenue, Toronto, ON, M6K 3E6",NA,1,NA,NA,NA,NA,Owned by others
"20 Covington Road, Toronto, ON, M6A 3C1",1,NA,NA,1,1,NA,City Operated
"2213 Dufferin Street, Toronto, ON, M6E 3S2",NA,NA,NA,NA,1,NA,City Owned
"3401 Dufferin Street, Toronto, ON, M6A 2T9",1,1,NA,NA,1,NA,Owned by others
"1669 Eglinton Avenue West, Toronto, ON, M6E 2H4",NA,NA,NA,NA,1,NA,Owned by others
"1745 Eglinton Avenue West, Toronto, ON, M6E 2H4",1,NA,NA,1,1,NA,City Operated
"12 Flemington Road, Toronto, ON, M6A 2N4",NA,NA,NA,NA,1,NA,Owned by others
"35 Glen Long Avenue, Toronto, ON, M6B 2M1",NA,NA,NA,NA,1,NA,City Owned
