full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"48 Yonge Street, Suite 1200, Toronto, ON, M5E 1G6",1,NA,1,NA,NA,NA,Owned by others
"550 Bayview Avenue, Toronto, ON, M4W 3X8",NA,1,NA,NA,1,1,City Owned
"958 Broadview Avenue, Toronto, ON, M4K 2R6",1,1,1,NA,1,NA,Owned by others
"995 Broadview Avenue, Toronto, ON, M4K 2S1",1,NA,NA,NA,1,NA,Owned by others
"951 Carlaw Avenue, Toronto, ON, M4K 3M2",NA,1,NA,NA,NA,NA,Owned by others
"120 Danforth Avenue, Toronto, ON, M4K 1N1",1,NA,NA,NA,NA,NA,Owned by others
"154 Danforth Avenue, 2nd Floor, Toronto, ON, M4K 1N1",1,NA,NA,NA,NA,NA,Owned by others
"310 Danforth Avenue, Toronto, ON, M4K 1N6",1,NA,NA,NA,1,NA,Owned by others
"320 Danforth Avenue, Toronto, ON, M4K 1N8",1,NA,NA,NA,NA,NA,Owned by others
"320 Danforth Avenue, Unit 5, Toronto, ON, M4K 1N8",NA,NA,NA,NA,1,NA,Owned by others
"402 Danforth Avenue, Toronto, ON, M4K 1P3",1,NA,NA,NA,NA,NA,Owned by others
"406 Danforth Avenue, Toronto, ON, M4K 1P3",1,1,NA,NA,1,NA,Owned by others
"798 Danforth Avenue, Toronto, ON, M4J 1L6",1,1,NA,NA,1,NA,Owned by others
"950 Danforth Avenue, Toronto, ON, M4J 1L9",1,1,NA,NA,NA,NA,Owned by others
"966 Danforth Avenue, Toronto, ON, M4J 1L9",1,1,NA,NA,NA,NA,Owned by others
"972 Danforth Avenue, Toronto, ON , M4J 1L9",1,1,NA,NA,NA,NA,Owned by others
"1324 Danforth Avenue, Toronto, ON, M4J 1M9",1,NA,NA,NA,1,NA,Owned by others
"71 Gough Avenue, Toronto, ON, M4K 3N9",1,NA,NA,NA,1,NA,Owned by others
"663 Greenwood Avenue, Toronto, ON, M4J 4B3",NA,1,NA,NA,NA,NA,Owned by others
"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",1,NA,NA,1,NA,NA,City Owned
"746 Pape Avenue, Toronto, ON, M4K 3S7",1,NA,NA,NA,NA,NA,Owned by others
"1041 Pape Avenue, Toronto, ON, M4K 3W1",1,NA,NA,NA,NA,NA,Owned by others
"1081 Pape Avenue, Toronto, ON, M4K 3W4",NA,NA,NA,NA,1,NA,City owned
"1081.5 Pape Avenue, Toronto, ON, M4K 3W6",NA,NA,NA,1,NA,NA,City owned
"67 Pottery Road, Toronto, ON, M4K 2B9",1,1,NA,NA,NA,1,City Owned
"705 Pape Avenue, Toronto, ON, M4K 3S6",NA,1,NA,NA,NA,NA,Owned by others
"30 Booth Avenue, Suite 100, Toronto, ON, M4M 2M2",NA,NA,1,NA,NA,NA,Owned by others
"60 Bowden Street, Toronto, ON, M4K 1M7",1,NA,NA,NA,NA,NA,Owned by others
"370 Broadview Avenue, Toronto, ON, M4K 2M8",NA,NA,NA,1,NA,1,City operated
"415 Broadview Avenue, Toronto, ON, M4K 2M9",1,NA,NA,NA,1,NA,Owned by others
"302 Carlaw Avenue, Unit 104, Toronto, ON, M4M 3L1",1,1,NA,NA,NA,NA,Owned by others
"690 Carlaw Avenue, Toronto, ON, M4K 3K9",NA,NA,NA,NA,1,NA,Owned by others
"225 Commissioners Street, Toronto, ON, M4M 1A9",NA,NA,1,NA,NA,NA,Owned by others
"65 Curzon Street, Toronto, ON, M4M 3B3",1,NA,NA,NA,1,NA,Owned by others
"95 Danforth Avenue, 3rd Floor, Toronto, ON, M4K 1N2",1,NA,NA,NA,NA,NA,Owned by others
"95 Danforth Avenue, Suite 301, Toronto, ON, M4K 1N2",1,NA,NA,NA,NA,NA,Owned by others
"115 Danforth Avenue, Suite 203, Toronto, ON, M4K 1N2",1,NA,1,NA,NA,NA,Owned by others
"131 Danforth Avenue, Toronto, ON, M4K 1N2",1,NA,NA,NA,1,NA,Owned by others
"141 Danforth Avenue, Toronto, ON, M4K 1N2",1,NA,NA,NA,NA,NA,Owned by others
"147 Danforth Avenue, Toronto, ON, M4K 1N2",1,NA,NA,NA,NA,NA,Owned by others
"211 Danforth Avenue, Toronto, ON, M4K 1N2",1,NA,NA,NA,NA,NA,Owned by others
"361 Danforth Avenue, Toronto, ON, M4K 1P1",1,NA,NA,NA,1,NA,Owned by others
"11 Davies Avenue, Suite 102, Toronto, ON, M4M 2A9",NA,1,NA,NA,NA,NA,Owned by others
"130 DeGrassi Street, Toronto, ON, M4M 2K6",1,1,NA,NA,NA,NA,Owned by others
"1112 Dundas Street East, Toronto, ON, M5A 3A7",1,NA,NA,NA,NA,NA,Owned by others
"400 Eastern Avenue, Suite 201, Toronto, ON, M4M 1B9",NA,1,NA,NA,NA,NA,Owned by others
"793 Gerrard Street East, Toronto, ON, M4M 1Y5",NA,1,NA,NA,NA,NA,Owned by others
"953 Gerrard Street East, Toronto, ON, M4M 1Z4",NA,NA,NA,NA,1,NA,City Owned
"1094 Gerrard Street East, Toronto, ON, M4M 2A1",1,NA,NA,NA,1,NA,Owned by others
"1300 Gerrard Street East, Toronto, ON, M4L 1Y7",1,1,1,NA,1,NA,Owned by others
"1326 Gerrard Street East, Toronto, ON, M4L 1Z1",1,1,NA,NA,1,NA,Owned by others
"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",NA,NA,NA,1,NA,NA,City operated
"118 Jones Avenue, Toronto, ON, M4M 2Z9",NA,NA,NA,1,NA,NA,City Owned
"725 Logan Avenue, Toronto, ON, M4K 3B9",1,NA,NA,NA,1,NA,City Owned
"816 Logan Avenue, Toronto, ON, M4K 3E1",NA,NA,NA,NA,1,NA,City Owned
"2 Matilda Street, Toronto, ON, M4M 1L9",1,1,1,NA,1,NA,Owned by others
"701 Pape Avenue, Toronto, ON, M4K 3S6",NA,1,NA,1,NA,NA,City operated
"11 Polson Street, Toronto, ON, M5A 1A4",1,1,NA,NA,1,NA,Owned by others
"25 Polson Street, Toronto, ON, M5A 1A4",NA,1,NA,NA,NA,NA,Owned by others
"735 Queen Street East, Toronto, ON, M4M 1H2",1,NA,NA,NA,NA,NA,Owned by others
"756 Queen Street East, Toronto, ON, M4M 1H4",NA,1,NA,NA,NA,NA,Owned by others
"765 Queen Street East, Toronto, ON, M4M 1H3",1,1,NA,1,1,1,City Owned
"870 Queen Street East, Toronto, ON, M4M 1H9",NA,NA,NA,NA,1,NA,City Owned
"875 Queen Street East, Toronto, ON, M4M 1J2",1,NA,NA,NA,NA,NA,Owned by others
"922 Queen Street East, Toronto, ON, M4M 1J5",1,NA,NA,NA,NA,NA,Owned by others
"970 Queen Street East, Toronto, ON, M4M 1J8",1,NA,NA,NA,NA,NA,Owned by others
"978 Queen Street East, Toronto, ON, M4M 1K1",NA,1,NA,NA,NA,NA,Owned by others
"1114 Queen Street East, Toronto, ON, M4M 1K7",1,1,NA,NA,NA,NA,Owned by others
"1150 Queen Street East, Toronto, ON, M4M 1K8",NA,1,NA,NA,NA,NA,Owned by others
"1156 Queen Street East, Toronto, ON, M4M 1L2",NA,1,NA,NA,NA,NA,Owned by others
"1164 Queen Street East, Toronto, ON, M4M 1L4",NA,1,NA,NA,NA,NA,Owned by others
"1318 Queen Street East, Toronto, ON, M4L 1C5",NA,1,NA,NA,NA,NA,Owned by others
"115 Simpson Avenue, Toronto, ON, M4K 1A1",1,NA,NA,NA,1,NA,Owned by others
"682 Queen Street East, Toronto, ON, M4M 1G9",NA,NA,NA,NA,1,NA,Owned by others
"732 Queen Street East, Toronto, ON, M4M 1H2",NA,1,NA,NA,NA,NA,Owned by others
"296 Broadview Avenue, Toronto, ON, M4M 2G7",1,NA,NA,NA,1,NA,Owned by others
"450 Broadview Avenue, Toronto, ON, M4M 1X7",NA,NA,NA,NA,NA,1,City Owned
"86 Blake Street, Toronto, ON, M4J 3C9",NA,NA,NA,NA,1,NA,City Owned
"1390 Gerrard Street East, Toronto, ON, M4L 1Z4",NA,1,NA,NA,NA,NA,Owned by others
"87 Ravina Crescent, Toronto, ON, M4J 3L9",1,NA,NA,NA,NA,NA,Owned by others
"870 Queen Street East, Toronto, ON, M1P 4N7",NA,1,NA,NA,NA,NA,City Owned
"550 Broadview Avenue, Toronto, ON, M4K 2P1",NA,NA,1,NA,NA,NA,City Owned
"1158 Queen Street East, Toronto, ON, M1P 4N7",1,NA,NA,NA,1,NA,City Owned
"1 Hanson Street, Toronto, ON, M4J 1G6",1,NA,NA,NA,NA,NA,Owned by others
"573 Gerrard Street East, Toronto, ON, M4M 1Y3",NA,NA,NA,NA,1,NA,Owned by others
"138 Hamilton Street, Toronto, ON, M4M 2E1",NA,NA,NA,NA,1,NA,City Owned
"120 First Avenue, Toronto, ON, M4M 1X1",1,NA,NA,NA,1,NA,Owned by others
"1035 Gerrard Street East, Toronto, ON, M4M 1Z6",NA,NA,1,NA,NA,NA,Owned by others
"373 Cedarvale Avenue, Toronto, ON, M4C 4K7",NA,NA,NA,NA,1,NA,City Owned
"15 Chisholm Avenue, Toronto, ON, M4C 4V1",1,NA,NA,NA,1,NA,Owned by others
"650 Cosburn Avenue, Toronto, ON, M4C 2V2",1,NA,NA,NA,1,NA,Owned by others
"51 Cranfield Road, Toronto, ON, M4B 3H6",NA,1,NA,NA,NA,NA,Owned by others
"2550 Danforth Avenue, Toronto, ON, M4C 1L2",1,NA,NA,NA,1,NA,Owned by others
"305 Dawes Road, Toronto, ON, M4B 2E2",1,NA,NA,NA,NA,1,City Owned
"416 Dawes Road, Toronto, ON, M4B 2E8",1,NA,NA,1,NA,NA,City Owned
"200 Wolverleigh Boulevard, Toronto, ON, M4C 1S2",1,NA,NA,NA,1,NA,Owned by others
"455 Glebeholme Boulevard, Toronto, ON, M4C 1V3",NA,NA,NA,NA,1,NA,City Owned
"2 Gledhill Avenue, Toronto, ON, M4C 5K6",NA,NA,NA,NA,1,NA,City Owned
"850 O'Connor Drive, Toronto, ON, M4B 3L6",NA,NA,NA,NA,1,NA,Owned by others
"2723 St. Clair Avenue East, Toronto, ON, M4B 1M8",NA,NA,NA,NA,1,NA,Owned by others
"10 Ashbridges Bay Park Road, Toronto, ON, M4E 3S7",NA,1,NA,NA,1,NA,Owned by others
"2 Bellefair Avenue, Toronto, ON, M4L 3T7",1,NA,NA,NA,1,NA,Owned by others
"1675 Danforth Avenue, Toronto, ON, M4C 5P2",NA,NA,NA,1,1,NA,City Operated
"920 Eastern Avenue, Toronto, ON, M4L 1A4",NA,1,NA,NA,NA,NA,Owned by others
"1757 Gerrard Street East, Toronto, ON, M4L 3J2",1,1,NA,NA,1,NA,City Operated
"1910 Gerrard Street East, Toronto, ON, M4L 2C1",NA,NA,NA,NA,1,NA,Owned by others
"65 Glen Manor Drive, Toronto, ON, M4E 3V3",1,NA,NA,NA,1,NA,Owned by others
"109 Kenilworth Avenue, Toronto, ON, M4L 3S4",NA,NA,NA,NA,1,1,Owned by others
"870 Kingston Road, A, Toronto, ON, M4E 1S3",NA,1,NA,NA,NA,NA,Owned by others
"910 Kingston Road, Toronto, ON, M4E 1S5",NA,1,NA,NA,NA,NA,Owned by others
"975 Kingston Road, Toronto, ON, M4E 1T1",NA,NA,NA,NA,1,NA,Owned by others
"101 Kippendavie Avenue, Toronto, ON, M4L 3R3",NA,NA,NA,NA,1,NA,Owned by others
"62 Laing Street, Toronto, ON, M4L 2N4",NA,NA,NA,NA,NA,1,City Owned
"1590 Lake Shore Boulevard East, Toronto, ON, M4L 6S8",1,NA,NA,NA,1,NA,City Owned
"1681 Lake Shore Boulevard East, Toronto, ON, M4L 3W6",1,NA,NA,NA,NA,NA,Owned by others
"79 Lawlor Avenue, Toronto, ON, M4E 3L8",NA,NA,NA,NA,1,NA,City Operated
"97 Main Street, Toronto, ON, M4E 2V6",NA,NA,NA,NA,1,1,City Owned
"126 Main Street, Toronto, ON, M4E 2V8",NA,1,NA,NA,NA,NA,Owned by others
"137 Main Street, Toronto, ON, M4E 2V9",1,NA,NA,1,1,NA,City Operated
"245 Main Street, Toronto, ON, M4C 5T3",NA,NA,NA,NA,1,NA,City Owned
"55 Malvern Avenue, Toronto, ON, M4E 3E4",1,NA,NA,NA,NA,NA,Owned by others
"1851 Danforth Avenue, Toronto, ON, M4C 1H8",NA,1,NA,NA,NA,NA,Owned by others
"14 Pine Avenue, Toronto, ON, M4E 3G5",NA,NA,NA,NA,1,NA,City Operated
"1301 Queen Street East, Toronto, ON, M4L 1C2",1,NA,NA,NA,NA,NA,Owned by others
"1651 Queen Street East, Toronto, ON, M4L 1G5",NA,NA,1,NA,NA,NA,Owned by others
"2075 Queen Street East, Toronto, ON, M4L 1J1",NA,NA,NA,NA,1,1,City Owned
"2116 Queen Street East, Toronto, ON, M4E 1G1",1,NA,NA,NA,NA,NA,Owned by others
"2161 Queen Street East, Toronto, ON, M4L 1J1",NA,NA,NA,1,1,1,City Operated
"2215 Queen Street East, Toronto, ON, M4E 1E8",1,NA,NA,NA,NA,NA,Owned by others
"2232 Queen Street East, Toronto, ON, M4E 1E9",1,NA,NA,NA,NA,NA,Owned by others
"2242 Queen Street East, Toronto, ON, M4E 1G2",NA,1,NA,NA,NA,NA,Owned by others
"2263 Queen Street East, Toronto, ON, M4E 1G2",NA,NA,1,NA,NA,1,Owned by others
"70 Silver Birch Avenue, Toronto, ON, M4E 3K9",1,NA,NA,NA,1,1,Owned by others
"3 Wembley Drive, Toronto, ON, M4L 3C9",NA,1,NA,NA,NA,NA,Owned by others
"6 Williamson Road, Toronto, ON, M4E 2P4",NA,1,NA,NA,1,NA,City Owned
"18 Williamson Road, Toronto, ON, M4E 1K5",1,1,1,NA,1,NA,Owned by others
"140 Wineva Avenue, Toronto, ON, M4E 2T4",1,NA,NA,NA,1,NA,Owned by others
"56 Woodfield Road, Toronto, ON, M4L 2W6",NA,NA,NA,NA,1,NA,City Owned
"25 Axsmith Crescent, Toronto, ON, M2J 3K3",1,NA,NA,NA,1,NA,Owned by others
"2975 Don Mills Road West, Toronto, ON, M2J 3B7",NA,NA,NA,NA,1,NA,City Owned
"35 Fairview Mall Drive, Toronto, ON, M2J 4S4",1,NA,NA,1,1,NA,City Operated
"1091 Finch Avenue East, Toronto, ON, M2J 2X3",1,1,NA,NA,NA,1,City Owned
"45 Hallcrown Place, Toronto, ON, M2J 4Y4",1,NA,NA,NA,NA,NA,Owned by others
"50 Hallcrown Place, Toronto, ON, M2J 1P6",1,NA,NA,NA,NA,NA,Owned by others
"21 Leith Hill Road, Toronto, ON, M2J 1Y9",1,NA,NA,NA,NA,NA,Owned by others
"1800 Sheppard Avenue East, Toronto, ON, M2J 5A7",1,1,NA,NA,NA,NA,Owned by others
"545 Van Horne Avenue, Toronto, ON, M2J 4S8",NA,NA,NA,NA,1,NA,City Owned
"575 Van Horne Avenue, Toronto, ON, M2J 4S8",1,NA,NA,1,1,NA,City Operated
"280 Yorkland Boulevard, Toronto, ON, M2J 5C7",1,1,NA,NA,1,NA,Owned by others
"220 Bartley Drive, Toronto, M4A 1G2, 34",NA,NA,1,NA,NA,NA,Owned by others
"210 Brookbanks Drive, Toronto, M3A 2T8, 34",1,NA,NA,1,NA,NA,City operated
"4 Credit Union Drive, Toronto, M4A 2N8, 34",1,1,NA,NA,NA,NA,Owned by others
"185 Graydon Hall Drive, Toronto, M3A 3B4, 34",NA,NA,NA,NA,1,NA,Owned by others
"85 Moatfield Drive, Toronto, M3B 3L6, 34",1,1,NA,NA,NA,NA,Owned by others
"85 Parkwoods Village Drive, Toronto, M3A 2X9, 34",1,NA,NA,NA,1,NA,Owned by others
"190 Railside Road, Toronto, M3A 1A3, 34",1,NA,NA,NA,NA,NA,Owned by others
"60 Rowena Drive, Toronto, M3A 3R2, 34",NA,NA,NA,NA,1,NA,Owned by others
"184 Sloane Avenue, Toronto, M4A 2C4, 34",1,NA,NA,1,NA,NA,City operated
"235 The Donway East, Toronto, M3B 2Y8, 34",1,NA,NA,NA,1,NA,Owned by others
"40 Underhill Drive, Toronto, M3A 2J5, 34",1,NA,NA,NA,1,NA,Owned by others
"1684 Victoria Park Avenue, Toronto, M1R 1R1, 34",1,NA,NA,NA,NA,NA,Owned by others
"900 York Mills Road, Toronto, M3B 3H2, 34",NA,NA,NA,NA,1,NA,Owned by others
"50 Rowena Drive, Toronto, M3A 3R2, 34",1,1,NA,NA,1,1,Owned by others
"496 Birchmount Road, Toronto, ON, M1K 1N8",1,NA,NA,1,1,NA,City Operated
"3079 Danforth Avenue, Toronto, ON, M1L 1A8",NA,NA,NA,NA,1,NA,Owned by others
"35 Danforth Road, Toronto, ON, M1L 3W5",1,NA,NA,NA,1,NA,Owned by others
"2467 Eglinton Avenue East, Toronto, ON, M1K 2R1",NA,NA,NA,NA,1,NA,City Owned
"1 Eglinton Square, Unit 126, Toronto, ON, M1L 2K1",1,NA,NA,1,1,NA,City Operated
"40 Fairfax Crescent, Toronto, ON, M1L 4V7",1,NA,NA,NA,1,NA,Owned by others
"74 Firvalley Court, Toronto, ON, M1L 1N9",NA,NA,NA,NA,1,NA,Owned by others
"25 Mendelssohn Street, Toronto, ON, M1L 0G9",1,1,NA,NA,1,NA,City Owned
"63 Pharmacy Avenue, Toronto, ON, M1L 3E4",1,NA,NA,NA,1,NA,City Operated
"313 Pharmacy Avenue, Toronto, ON, M1L 3E7",NA,NA,NA,NA,1,NA,City Owned
"793 Pharmacy Avenue, Toronto, ON, M1L 3K2",NA,NA,1,NA,NA,NA,Owned by others
"79 Westbourne Avenue, Toronto, ON, M1L 2Y5",1,NA,NA,NA,NA,NA,Owned by others
"3170 St. Clair Avenue East, Toronto, ON, M1L 1V6",1,NA,NA,NA,NA,NA,Owned by others
"93 Birchmount Road, Toronto, ON, M1N 3J7",NA,NA,NA,NA,1,NA,City Owned
"7 Brimley Road South, Toronto, ON, M1M 3W3",NA,NA,NA,NA,1,NA,Owned by others
"1 Brimley Road South, Toronto, ON, M1M 3W3",NA,NA,NA,NA,1,NA,City Owned
"3663 Danforth Avenue, Toronto, ON, M1N 2G2",1,NA,NA,NA,1,NA,Owned by others
"33 East Road, Toronto, ON, M1N 1Z9",1,1,NA,NA,1,NA,Owned by others
"1440 Kingston Road, Toronto, ON, M1N 1R3",NA,NA,NA,1,NA,NA,City Owned
"1512 Kingston Road, Toronto, ON, M1N 1R5",1,NA,NA,NA,NA,NA,Owned by others
"1567 Kingston Road, Toronto, ON, M1N 1R9",NA,1,1,NA,NA,NA,Owned by others
"1859 Kingston Road, Toronto, ON, M1N 1T3",NA,1,NA,NA,1,NA,City Owned
"1859 Kingston Road, Toronto, ON, M1N 1T3",1,NA,NA,NA,NA,NA,City Owned
"3017 Kingston Road, Toronto, ON, M1M 1P1",NA,NA,NA,1,NA,NA,City operated
"3474 Kingston Road, Toronto, ON, M1M 1R5",1,NA,NA,NA,1,NA,Owned by others
"3555 Kingston Road, Toronto, ON, M1M 3W4",1,1,NA,NA,1,NA,Owned by others
"3600 Kingston Road, Toronto, ON, M1M 1R9",1,NA,NA,NA,1,NA,City Owned
"21 Markanna Drive, Toronto, ON, M1M 2H9",1,NA,NA,NA,1,NA,Owned by others
"1 McCowan Road, Toronto, ON, M1M 3L7",1,NA,NA,NA,1,NA,Owned by others
"3800 St. Clair Avenue East, Toronto, ON, M1M 1V3",1,NA,NA,NA,NA,NA,Owned by others
"3701 Danforth Avenue, Toronto, ON, M1N 2G2",NA,NA,NA,NA,1,NA,Owned by others
"1500 Birchmount Road, Toronto, ON, M1P 2G5",1,1,NA,NA,1,NA,Owned by others
"20 Canadian Road, Toronto, ON, M1R 4B4",NA,NA,NA,NA,1,NA,City Owned
"1880 Eglinton Avenue East, Toronto, ON, M1L 2L1",1,NA,NA,NA,NA,NA,Owned by others
"2380 Eglinton Avenue East, Toronto, ON, M1K 2P3",1,NA,1,1,NA,NA,City Operated
"85 Ellesmere Road, Unit 16, Toronto, ON, M1R 4B9",NA,NA,NA,1,1,NA,City Operated
"1299 Ellesmere Road, Toronto, ON, M1P 2Y2",NA,NA,NA,NA,1,NA,City Owned
"10 Howarth Avenue, Toronto, ON, M1R 1H4",NA,NA,NA,NA,1,NA,Owned by others
"929 Kennedy Road, Toronto, ON, M1K 2E8",NA,NA,NA,NA,1,NA,City Owned
"22 Landseer Road, Toronto, ON, M1K 3A7",1,NA,NA,NA,NA,NA,Owned by others
"2219 Lawrence Avenue East, Toronto, ON, M1P 2P5",NA,NA,NA,1,1,NA,City Operated
"2231 Lawrence Avenue East, Toronto, ON, M1P 2P5",NA,NA,NA,NA,1,NA,City Owned
"115 Ionview Road, Toronto, ON, M1K 3A1",NA,NA,NA,NA,1,NA,Owned by others
"1176 Pharmacy Avenue, Toronto, ON, M1R 2H5",1,NA,NA,NA,1,NA,Owned by others
"777 Supertest Road, Unit 2, Toronto, ON, M3J 2M9",NA,NA,NA,NA,1,NA,Owned by others
"150 Borough Drive, Toronto, ON, M1P 4N7",1,1,NA,NA,1,NA,City Owned
"1007 Brimley Road, Toronto, ON, M1P 3K8",NA,1,NA,NA,1,1,City Owned
"1515 Danforth Road, Toronto, ON, M1J 1H5",1,NA,NA,1,1,NA,City Owned
"91 Eastpark Boulevard, Toronto, ON, M1H 1C6",NA,NA,NA,NA,1,NA,City Owned
"2938 Eglinton Avenue East, Toronto, ON, M1J 2E4",NA,NA,NA,NA,1,NA,Owned by others
"1967 Ellesmere Road, Toronto, ON, M1H 2W5",NA,NA,NA,NA,1,NA,City Owned
"2222 Ellesmere Road, Toronto, ON, M1G 3M3",1,NA,NA,NA,1,NA,Owned by others
"1250 Markham Road, Toronto, ON, M1H 3B4",1,NA,NA,NA,NA,NA,Owned by others
"940 Progress Avenue, Toronto, ON, M1G 3T5",NA,NA,NA,NA,1,NA,Owned by others
"230 Town Centre Court, Toronto, ON, M1P 4Y7",1,1,NA,NA,1,NA,Owned by others
"3200 Pharmacy Avenue, Toronto, ON, M1W 3J5",NA,NA,NA,NA,1,NA,Owned by others
"390 Bamburgh Circle, Toronto, ON, M1W 3X3",NA,NA,NA,NA,1,NA,Owned by others
"390 Bamburgh Circle, Toronto, ON, M1W 3X3",NA,NA,NA,NA,1,NA,Owned by others
"375 Bamburgh Circle, C107, Toronto, ON, M1W 3Y1",NA,NA,NA,1,NA,NA,City Owned
"201 Chester Le Blvd., 2nd Floor, Toronto, ON, M1W 2K7
",NA,NA,NA,NA,1,NA,Owned by others
"3840 Finch Avenue East, Toronto, ON, M1T 3T4",NA,NA,NA,NA,1,NA,Owned by others
"3840 Finch Avenue East, Toronto, ON, M1T 3T4",NA,NA,NA,NA,1,NA,Owned by others
"41 Glendinning Avenue, Toronto, ON, M1W 3E2",NA,NA,NA,NA,1,NA,Owned by others
"3300 Kennedy Road, Toronto, ON, M1V 3S8",NA,NA,NA,NA,1,NA,Owned by others
"2000 McNicoll Avenue, Toronto, ON, M1V 5E9",NA,NA,NA,NA,1,NA,City Owned
"4077 Gordon Baker Rd., Toronto, ON, M1W 2S7",1,NA,NA,NA,1,NA,Owned by others
"2900 Warden Avenue, 157A, Toronto, ON, M1W 2S8",1,NA,NA,1,NA,NA,City Owned
"2450 Birchmount Road, Toronto, ON, M1T 2M5",1,NA,NA,NA,1,NA,Owned by others
"2520 Birchmount Road, Toronto, ON, M1T 2M5",1,NA,NA,NA,1,NA,City Owned
"155 Bonis Avenue, Toronto, ON, M1T 3W6",1,NA,NA,1,1,NA,City Owned
"1251 Bridletowne Circle, Toronto, ON, M1W 2H8",1,NA,NA,NA,1,NA,Owned by others
"2 Nobert Road, Toronto, ON, M1T 1C1",1,NA,NA,NA,1,NA,Owned by others
"2300 Pharmacy Avenue, Toronto, ON, M1W 1H8",1,NA,NA,NA,1,NA,Owned by others
"2333 Victoria Park Avenue, Toronto, ON, M1R 1W6",1,NA,NA,NA,NA,NA,Owned by others
"4155 Sheppard Avenue East, #100, Toronto, ON, M1S 1T4",NA,NA,NA,NA,1,NA,Owned by others
"31 Glen Watford Drive, Toronto, ON, M1S 2B7",1,NA,NA,NA,1,NA,City Owned
"33 Heather Rd. , Toronto, ON, M1S 2E1
",1,NA,NA,NA,1,NA,Owned by others
"1050 Huntingwood Drive, Toronto, ON, M1S 3H5",1,NA,NA,NA,1,NA,Owned by others
"4325 McCowan Road, Toronto, ON, M1V 4P1",1,1,NA,NA,1,NA,City Owned
"2155 McNicoll Avenue, Toronto, ON, M1V 5P1",1,NA,NA,NA,1,NA,Owned by others
"328 Passmore Avenue, Toronto, ON, M1V 5J5",NA,1,NA,NA,1,NA,Owned by others
"100 Salome Drive, Toronto, ON, M1S 2A8",NA,1,NA,NA,1,NA,Owned by others
"1550 Sandhurst Circle, Toronto, ON, M1V 1S6",1,NA,NA,NA,1,NA,Owned by others
"1571 Sandhurst Circle, Toronto, ON, M1V 1V2",NA,1,NA,1,NA,NA,City Owned
"3838 Midland Avenue, Toronto, ON, M1V 5K5",1,1,NA,NA,1,NA,Owned by others
"2621 Midland Avenue, Toronto, ON, M1S 3R6",1,NA,NA,NA,1,NA,Owned by others
"4640 Finch Avenue East, Toronto, ON, M1S 4G2",1,NA,NA,NA,1,NA,Owned by others
"5321 Finch Avenue East, Toronto, ON, M1S 5W2",NA,NA,NA,NA,1,NA,Owned by others
"3880 Midland Avenue, Toronto, ON, M1V 5K4",NA,NA,NA,NA,1,NA,Owned by others
"4150 Finch Avenue East, Toronto, ON, M1S 3T9",NA,NA,NA,NA,1,NA,Owned by others
"4125 Sheppard Avenue East, Toronto, ON, M1S 1T2
",1,NA,NA,NA,NA,NA,Owned by others
"120 Berner Trail, Toronto, ON, M1B 1B3",NA,NA,NA,NA,1,NA,City Owned
"55 Mac Frost Way, Toronto, ON, M1X 1N6",1,NA,NA,NA,1,NA,Owned by others
"361 Old Finch Avenue, A, Toronto, ON, M1B 5K7",NA,1,NA,NA,NA,1,City Owned
"1081 Progress Avenue, Toronto, ON, M1B 5Z6",NA,NA,NA,1,1,NA,City Owned
"30 Sewells Road, Toronto, ON, M1B 3G5",NA,NA,NA,1,1,NA,City Owned
"30 Sewells Road, Toronto, ON, M1B 3G5",1,1,1,1,1,NA,City Owned
"40 Sewells Road, Toronto, ON, M1B 3G5",1,NA,NA,NA,1,NA,Owned by others
"5183 Sheppard Avenue East, Toronto, ON, M1B 5Z5",1,1,NA,NA,NA,NA,Owned by others
"150 Tapscott Road, Toronto, ON, M1B 2L2",1,NA,NA,NA,1,NA,Owned by others
"225 Confederation Drive, Toronto, ON, M1G 1B2",NA,1,NA,NA,1,1,City Owned
"6 Fintona Avenue, Toronto, ON, M1E 1V3",1,NA,NA,NA,NA,NA,Owned by others
"145 Guildwood Parkway, Toronto, ON, M1E 1P5",1,NA,NA,NA,1,NA,Owned by others
"123 Guildwood Parkway, Toronto, ON, M1E 5G5",NA,NA,NA,1,NA,NA,City Operated
"201 Guildwood Parkway, Toronto, ON, M1E 195",1,NA,NA,NA,NA,1,City Owned
"4040 Lawrence Avenue East, Toronto, ON, M1E 2R2",1,1,NA,NA,1,NA,City Owned
"545 Markham Road, Toronto, ON, M1H 2A2",1,NA,NA,1,1,NA,City Owned
"730 Military Trail, Toronto, ON, M1E 4P7",NA,NA,NA,NA,1,NA,City Owned
"350 Morningside Avenue, Toronto, ON, M1E 3G3",1,NA,NA,NA,1,NA,Owned by others
"277 Orton Park Road, Toronto, ON, M1G 3T4",NA,NA,NA,NA,1,NA,City Owned
"450 Scarborough Golf Club Road, Toronto, ON, M1G 3V6",NA,NA,NA,NA,1,1,Owned by others
"3550 Ellesmere Road, Toronto, ON, M1C 3Z2",1,NA,NA,1,NA,NA,City Owned
"6282 Kingston Road, Toronto, ON, M1C 1L2",NA,1,NA,NA,1,1,City Owned
